"Vare","Vare_2","Masse","Volume","Energi_kj","Kalorier_kcal","Fett_g","Mettet fett_g","Enumettet_fett_g","Flerumettet_fett_g","Karbohydrater_g","Sukkerarter_g","Sukkeralkoholer","Stivelse_g","Kostfiber_g","Protein_g","Salt_g","Land","Merke","Producent","Indeholder_1","Indeholder_2","Indeholder_3","Indeholder_spor_1","Indeholder_spor_2","Indeholder_spor_3"
"Lettrømme_Tine3_dl","","","",776,188,18,11,"","","3,7","3,7","","","","2,8","0,1","","","","","","","","",""
"Leverpostei","","","",933,225,19,"5,2","8,5","3,3","3,5","1,2","","",0,10,"1,6","","","","","","","","",""
"Leverpostei_6_stk6x22gr","","","",1105,265,23,0,"","",6,0,"","",0,9,"1,7","","","","","","","","",""
"Leverpostei100_gr","","","",933,225,19,"5,2","8,5","3,3","3,5","1,2","","",0,10,"1,6","","","","","","","","",""
"Limekg","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lion_King_sjokolade60_gram","","","",2023,483,"22,1","11,8","","","64,7",43,"","","1,5","5,5","0,5","","","","","","","","",""
"Lipton_Iste","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lipton_Te_Yellow25_poser","","","",1660,396,"0,5","0,1","","",94,92,"","","","0,5","0,6","","","","","","","","",""
"Litago_Melk_Jordbær5_dl","","","",245,58,"1,2","0,7","","","8,6","8,5","","","","3,2","0,1","","","","","","","","",""
"Litago_Sjokolademelk_0","","","",257,61,"1,3","0,8","","","8,8","8,6","","","","3,6","0,1","","","","","","","","",""
"Lofoten_Fiskesuppe69_gram","","","",183,43,"1,1","0,2","","",6,"2,2","","","","2,2","0,8","","","","","","","","",""
"Lutefisk_helside","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mager_Cottage_Cheese_Tine400_gr_mager","","","",333,79,2,"1,3","","","2,1","2,1","","","",13,"0,4","","","","","","","","",""
"Mais_2_pk2_stk","","","",357,85,"1,7","0,2","0,5","0,8","12,6",0,"","7,5","3,2",0,"","","","","","","","","",""
"Mais_eget_merke3_pk","","","",373,89,"2,4","0,5","","",12,"4,9",0,"7,1","3,8","2,9","0,4","","","","","","","","",""
"Maizena_maisstivelse400_gr","","","",1500,350,"0,5",0,"","",87,0,"","",1,"0,5",0,"","","","","","","","",""
"Makrell_i_tomat_6_pk6_stk","","","",947,228,18,"3,8","","3,6","3,5",3,0,0,0,13,1,"","","","","","","","",""
"Makrell_i_tomatStabburet","","","",1061,256,21,"3,5","9,3","6,8",3,"2,9","","","1,5",13,0,"","","","","","","","",""
"Mandelstang_Freia43_gr","","","",1925,460,"17,5","4,1","","",67,64,"","","3,7","6,4",0,"","","","","","","","",""
"Mandler_løsvekt500_gram","","","",2384,577,"49,2","3,7","30,9","12,1","6,3","3,9","","2,4","12,2","21,1",0,"","","","","","","","",""
"Mariekjeks200_gram","","","",1896,450,"12,4","1,1","9,5","1,8","74,6","18,8",0,"55,8","2,9","8,6",1,"","","","","","","","",""
"Matfløte_20%3_dl","","","",778,188,18,11,"","","3,7","3,7","","","","2,9","0,1","","","","","","","","",""
"Meksikansk_Gryte_Toro190_gr","","","",598,143,"6,1","2,8","","",12,"1,5","","","","8,9","0,5","","","","","","","","",""
"Meksikansk_tomatsuppePose","","","",266,63,"3,2","1,6","","","6,9","3,6","","","","1,5","0,8","","","","","","","","",""
"Melange_Flytende520_ml","","","",2960,720,80,7,47,21,"0,5","0,5","","","","0,5",1,"","","","","","","","",""
"Melange_Margarin","","","",2780,675,75,30,28,12,"0,5","0,5","","","","0,5","1,5","","","","","","","","",""
"Melange_margarin500_gram","","","",2780,675,75,30,28,12,"0,5","0,5","","","","0,5","1,5","","","","","","","","",""
"Melis_billigste_type500_gram","","","",1700,400,0,0,100,"","",98,2,"",0,0,"0,3","","","","","","","","",""
"Melkehjerter_Freia130_gr","","","",2400,575,"37,5",23,"","","50,5","49,5","","","2,3","7,9","0,2","","","","","","","","",""
"Melkerull_Freia74_gr","","","",2335,560,34,21,"","",53,"52,5","","","2,4","8,3","0,2","","","","","","","","",""
"Melkesjokolade_Freia200_gr","","","",2335,560,34,21,"","",53,"52,5","","","2,4","8,3","0,2","","","","","","","","",""
"Meller38_gram","","","",1561,405,"8,5","5,7","","",79,60,"","","",3,"0,6","","","","","","","","",""
"Mills_Kaviar185_gr","","","",1800,430,39,3,24,11,13,12,"","",0,8,"5,5","","","","","","","","",""
"Mills_Majones_tubetube_160_gram","","","",2900,705,77,5,47,21,2,2,"","",0,1,"0,6","","","","","","","","",""
"Mills_Majones330_gr_(2_poser)","","","",2900,705,77,5,47,21,2,2,"","",0,1,"0,6","","","","","","","","",""
"Mills_Peanøttsmør350_gram","","","",2560,620,50,9,23,17,14,9,"","",8,24,"0,6","","","","","","","","",""
"Minde_Risbrød290_gram","","","",2261,"542,1",32,20,"","",54,51,"","","",8,0,"","","","","","","","",""
"Mr_Lee_Nudler_Kjøttsmak85_gram","","","",372,90,"3,9","0,4","","",11,"0,3","","","","2,1","0,8","","","","","","","","",""
"Mr_Lee_Nudler_Kylling_koppkopp","","","",381,91,4,"0,4","","",11,"0,4","","","","2,1","0,9","","","","","","","","",""
"Mr_Lee_Nudler_Kyllingstk","","","",375,89,"3,9","0,4","","",11,"0,4","","","",2,"0,8","","","","","","","","",""
"Mr.Lee_Nudler_m/kjøtt_kopp65_gr","","","",381,95,4,"0,4","","",12,"0,4","","","","2,1","0,9","","","","","","","","",""
"Møllers_Tran500_ml_Naturell","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maarud_Tortilla","","","",1290,310,"3,4","0,6","","",57,22,"","","","7,8",10,"","","","","","","","",""
"Nakkekoteletter_eget_merke1_kg","","","",935,225,17,"6,4","","",0,0,"","","",18,0,"","","","","","","","",""
"Nektarin1_Kilo","","","",205,48,"0,3",0,"0,1","0,1","9,8",0,"",0,"1,3",1,0,"","","","","","","","",""
"Nescafe_Gull","","","",484,118,"0,2","0,1","","","3,1","3,1","","","34,1","7,8","0,3","Sveits","","","","","","","",""
"Nescafé_Gull_refill100_gr","","","",484,118,"0,2","0,1","","","3,1","3,1","","","34,1","7,8","0,3","Sveits","","","","","","","",""
"New_Energy45_gr","","","",1740,410,15,9,"","",63,54,"","","","5,8","0,3","Norge","","","","","","","",""
"Nidar_Marsipanpølse5_stk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nidar_Påskefavoritter300_gram","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nidar_Påskemarsipan5_pk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nidar_stor_Julegris193_gram","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nonstop180_gram","","","",2000,475,18,11,"","",72,71,"","","4,9","3,2",0,"Norge","","","Melk","Soya","","Gluten","Nøtter","Peanøtter"
"Nora_Agurk_Pariser580_gram","","","",251,59,"0,1",0,"","",14,14,"","",0,"0,4",1,"Norge","","","SENNEP","","","","",""
"Nora_Sviskekompott455_gram","","","",399,95,"0,1",0,0,0,22,17,"","","1,2","0,4",0,"Norge","","","","","","","",""
"Norske_Jordbær500_gram","","","",144,34,"0,2",0,0,"0,2","6,6",0,"",0,2,"0,5",0,"Norge","","","","","","","",""
"Norvegia_skivet300gr","","","",1458,351,27,17,"","",0,0,"","","",27,"1,2","Norge","","","MELK","","","","",""
"Norvegia1_kg","","","",1458,351,27,17,"","",0,0,"","","",27,"1,2","Norge","","","","","","","",""
"Nugatti_Original500_gram","","","",2200,526,28,"3,4","","",62,61,"","",0,"4,6","0,2","Norge","","","MELK","NØTTER","SOYA","","",""
"Oboy450_gr_pose","","","",1632,386,"2,7","1,2","","",82,80,"","","6,7","4,6","0,5","Sverige","","","SOYA","","","","",""
"OMO_Color_Refill490_ml","","","","","","","","","","","","","","","","","Spania","","","","","","","",""
"Omo_Color1","","","","","","","","","","","","","","","","","Spania","","","","","","","",""
"Omo_Ultra_Hvitt1","","","","","","","","","","","","","","","","","Spania","","","","","","","",""
"Oppvasktabletter","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oreo_Double157_gram","","","",2095,500,23,12,"","",68,43,"","","1,9","3,8","0,7","Spania","","","GLUTEN","SOYA","","","",""
"Ostegrill","","","",975,235,19,"7,5","7,7","1,8",5,"0,4","","","",11,"1,8","Norge","","","","","","","",""
"Oyster_Spring_Onion120_gr","","","",453,107,"0,5","0,1","","",24,20,0,0,"","1,6","1,8","Polen","","Blue dragon","FISK","BLØTDYR","","Nøtter","Peanøtter",""
"Panda_Lakris200_gr","","","",1390,327,"0,4",0,"","",76,47,"","","","3,5","0,4","Finland","","Panda","GLUTEN","","","","",""
"Pannekaker_Øko._Toro540_gr_Familiepakning","","","",630,149,"1,2","0,2","","",28,"5,4","","","","6,1","0,3","Norge","","Toro","EGG","GLUTEN","MELK","","",""
"Paprika1_kg_løsvekt","","","",110,26,"0,2","0,1",0,"0,1","4,2",0,"",0,"2,2","0,8",0,"","","","","","","","",""
"Peanøttkubbe60gr","","","",2180,520,30,"13,5","","","51,5",44,"","","3,7",10,"0,4","Litauen","","Freia peanoettkubbe","MELK","PEANØTTER","SOYA","","",""
"Pepe_Lakris_Big32_gram","","","",1390,327,"0,4",0,"","",76,47,"","","","3,5","0,4","Finland","","Pepe","GLUTEN","","","","",""
"Pepperkakedeig1_kilo","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pepperoni_Grilstad100_gram","","","",1757,420,36,14,18,5,1,0,"","","",23,4,"Norge","","Grilstad","","","","","",""
"Peppersaus","","","",235,54,"1,4","0,6","","",7,"3,6","","","0,3",3,"0,9","Norge","","Toro","GLUTEN","","","","",""
"Peppes_originale_pizzabunn550_gram","","","",1125,266,"2,8","0,8","","",47,4,"","","","8,1",1,"Frankrike","","Peppes","GLUTEN","","","Melk","",""
"Peppes_saus_Original180_gram","","","",228,54,"0,2",0,"","","9,6","7,7","","","","2,4","1,8","Norge","","Peppes","","","","","",""
"Peppes_Triple_Meat545_gram","","","",978,233,"8,9","3,2","","",28,"1,8","","","",10,"1,1","Italia","","Peppes","GLUTEN","MELK","SOYA","","",""
"Pepsi_Max1","","","","1,3","0,3",0,0,"","",0,0,"","","",0,0,"Norge","","Pepsi max","","","","","",""
"Philadelphia_light200gr","","","",614,148,11,"7,1","","","5,2","5,2","","","0,4","7,4","0,7","Tyskland","","Philadelphia","MELK","","","","",""
"Piano_Jordbærgele10_dl","","","",327,77,0,0,"","",19,19,"","","",0,"0,2","Norge","","Piano","","","","","",""
"Piano_Sjokoladepudding1_liter","","","",466,111,"2,8","1,8","","",18,16,"","","","3,4","0,1","Norge","","Piano","MELK","","","","",""
"Piano_Vaniljesaus","","","",615,147,"8,4","5,3","","",15,13,"","","","2,7","0,1","Norge","","Piano","MELK","","","","",""
"Piano_vaniljesaus1_liter","","","",615,147,"8,4","5,3","","",15,13,"","","","2,7","0,1","Norge","","Piano","MELK","","","","",""
"Picnicskinke_Stabburet325_gr","","","",594,143,10,"3,2","","","2,2","0,7","","",0,11,"1,7","Norge","","Picnic skinke","","","","","",""
"Pinnekjøtt","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pizza/_bakeark18","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pizzafyll_Mexicana","","","",1571,371,"5,9","0,5","","","67,3","37,1","","","7,9","8,3","3,1","Norge","","Toro","","","","","",""
"Pizzafyll_Tomat_og_løk50_gr","","","",254,60,"0,6","0,1","","","10,9","7,9","","",2,"1,7","0,7","Norge","","Toro","","","","","",""
"Pizzafyll_tomat_og_urter58_gr","","","",1461,345,"3,2","0,4","","","63,8","44,8","","","10,7","9,7","3,9","Norge","","Toro","","","","","",""
"Pizzasaus","","","",228,54,"0,2",0,"","","9,6","7,7","","","","2,4","1,8","","","","","","","","",""
"Plastfolie_Glad50_m","","","","","","","","","","","","","","","","","","","","","","","","",""
"Polarbrød_Havre16_pk","","","",1090,260,4,"0,9","","",42,"6,2","","","4,8",11,"0,6","Sverige","Polarbroed","Findal og krogh as","GLUTEN","","","","",""
"Polarbrød_Hvete16_pk","","","",1200,290,"6,4","0,8","","",48,"5,4","","","3,1","8,3","0,6","Sverige","Polarbroed","Findal og krogh as","GLUTEN","","","","",""
"Polly_peanøtter330_gram","","","",2634,628,52,11,"","",14,5,"","",8,24,"1,3","Norge","Polly","Orkla confectionery & snacks norge as","PEANØTTER","","","Nøtter","",""
"Potetgull_Maarud_Paprika250_gram","","","",2050,490,32,"2,4","","",44,2,"","","","5,1","1,5","Norge","Maarud","Maarud as","","","","Melk","",""
"Potetgull_Maarud_Salt240_gr_Salt","","","",2080,500,33,"2,4","","",44,"0,5","","","","4,9","1,3","Norge","Maarud","Maarud as","","","","Melk","",""
"Potetkaker","","","","","","","","","","","","","","","","","","","","","","","","",""
"Potetmel500_gr","","","","","1367 kj","326 kcal","0,3","0,2","",81,0,"","","","0,1",0,"Norge","Hoff","Hoff sa (dv)","","","","","",""
"Potetmos_MillsVanlig","","","",1500,360,"0,5","0,1",0,0,79,2,"","",5,6,"0,5","Norge","Mills","Mills as","SULFITT","SO2","","Melk","",""
"Potetsalat_Klassisk500_gr","","","",850,210,18,1,10,5,10,2,"","",0,1,"0,8","","","","EGG","SENNEP","","","",""
"Prim_original_Tine300_gr","","","",1197,284,8,"5,2","","",46,42,"","","","6,7","0,8","Norge","Tine prim","Tine sa","MELK","","","","",""
"Pringles_Original200_gr","","","",2153,514,33,"3,6","","",51,"1,2","","","2,7",4,"1,3","Belgia","Pringles","Kellogg norge a/s","GLUTEN","","","","",""
"Prior_Kalkun","","","",503,120,"4,4","1,4","1,6",1,1,"0,4","","","",19,1,"Norge","Prior","Nortura sa p","","","","","",""
"Prior_Kalkunfilet_m_pepper100_gram","","","",480,113,"1,4","0,5","0,5","0,3","0,2","0,1","","","",25,1,"Norge","Prior","Nortura sa p","","","","","",""
"PS_sprøstekt_løk100_gr","","","",2595,618,52,21,"","",32,11,"","",0,"3,8","1,9","Norge","Ps","Orkla foods norge stabburet dv","GLUTEN","SOYA","","","",""
"Purreløkkg","","","",118,28,"0,2",0,0,"0,1","3,6",0,"",0,"2,8","1,6",0,"","","","","","","","",""
"Pærerkg","","","",182,43,"0,1",0,0,0,8,0,"","0,1","4,5","0,4",0,"","","","","","","","",""
"Q_frokost_Yoghurt","","","",312,72,"2,7","1,8","","","7,5","7,3","","","","4,5","0,1","Norge","Q-frokostyoghurt","Q-meieriene as","MELK","","","","",""
"Quaker_Cruesli_Solfrokost500_gram","","","",1773,428,13,"1,4","","",63,15,"","","","7,1",0,"Storbritannia","Quaker","Orkla foods norge stabburet dv","GLUTEN","","","Nøtter","",""
"Raspeballer_Stangeland1_kilo","","","",1399,330,"2,1","0,6","","","67,7","3,3","","","6,7",10,"2,6","Norge","Stangland","Stangeland mølle handel","GLUTEN","SO2","Sulfit","Sesam","",""
"Revet_ost_original_Tine300gr","","","",1492,359,27,17,"","",1,0,"","","",28,"1,2","Norge","Tine ekte revet ost","Tine sa","MELK","","","","",""
"Ribberull_Gilde100_gr","","","",844,203,14,"4,7","5,9","1,9","2,2","0,4","","","",17,"2,1","Norge","Gilde","Nortura sa g","","","","","",""
"Ringnes_juleøl5_dl","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ringnes_Lite5_dl","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ringnes_pils1_stk_0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rislunsj_m/bringebær_&_rips150_gr","","","",602,143,"5,4","3,3","","",21,13,"","","","2,9","0,2","Norge","Tine rislunsj","Tine sa","MELK","","","","",""
"Rislunsj_m/jordbær150_gr","","","",580,138,"5,4","3,3","","",19,12,"","","","2,9","0,2","Norge","Tine rislunsj","Tine sa","MELK","","","","",""
"Ritz_kjeks200_gram","","","",2023,483,22,"2,1","","",62,"8,7","","","3,4","7,9","1,4","Italia","Ritz","Mondelez norge as","GLUTEN","","","Egg","Melk","Sesam"
"Rosenkål400_gram","","","",220,52,"0,6",0,0,"0,2","4,4",0,"","0,5","4,6","5,1",0,"","","","","","","","",""
"Rosiner_eget_merke250_gram","","","",1436,339,"0,7","0,1","0,1",0,"77,2","71,4","","5,8","5,8",3,0,"","","","","","","","",""
"Rødbetsalat","","","",1480,360,33,2,21,9,14,10,"","",0,1,"0,7","","","","","","","","",""
"Rødkål450","","","",300,50,"0,5",0,"","",16,10,"","",0,"0,8",0,"","","","","","","","",""
"Rømmedressing","","","",1295,314,"31,8",14,"","","4,5",4,"","","","2,2",1,"","","","","","","","",""
"Saltstenger_Soletti250_gram","","","",1601,378,"3,1","0,3","","",73,"0,7","","","4,3",12,"4,5","Østerrike","Soletti","Maarud as","GLUTEN","","","Melk","Sesam",""
"Sennep_Maille_Dijon380_gram","","","",620,150,11,"0,6","","","3,5",2,"","","",7,"5,7","Frankrike","Maille","Unilever norge as","SENNEP","SO2","Sulfit","","",""
"Servelat_eget_merke250_gram","","","",962,232,18,"5,5","6,5","1,9","6,4","0,2","","","",11,"1,6","","","","","","","","",""
"Sitrongele125_gram","","","",1670,395,0,0,"","","89,5","89,5","","",0,"7,3","0,2","","","","","","","","",""
"Skivet_Ridderost_Tine170_gr","","","",1746,422,38,25,"","",0,0,"","","",20,"1,5","","","","","","","","",""
"Skummet_melk_Tine1_liter","","","",140,33,"0,1","0,1","","","4,5","4,5","","","","3,5","0,1","Norge","Ridderost","Tine sa","MELK","","","","",""
"Skyr_luftig_bringebær130_gram","","","",228,54,"0,2","0,1","","",4,3,"","","0,9",9,"0,1","Norge","Skyr","Q-meieriene as","MELK","","","","",""
"Skyr_luftig_sitron130_gram","","","",236,56,"0,2","0,1","","",4,4,"","","0,9",9,"0,1","Norge","Skyr","Q-meieriene as","MELK","","","","",""
"Smacks_Honnikorn375_gr","","","",1597,377,"1,6","0,3","","",81,34,"","",5,"7,1",0,"Spania","Smacks","Kellogg norge a/s","GLUTEN","","","","",""
"Smash200_gr","","","",2240,"535,9",33,17,"","",52,39,"","","","8,1","0,9","Norge","Nidar smash","Orkla confectionery & snacks norge as","MELK","SOYA","","Nøtter","",""
"Smil_Sjokolade78_gram","","","",2150,515,"26,5",16,"","","63,5",56,"","","1,4","6,1","0,2","Norge","Freia smil","Mondelez norge as","MELK","","","","",""
"Smøreost_Bacon_tube175_gr","","","",926,223,18,10,"","",0,0,"","","",16,"2,6","Norge","Kavli smoereoster","Kavli o. as hovedlager","MELK","","","","",""
"Smøreost_Skinke_tube175_gr","","","",850,205,16,"9,1","","","0,1",0,"","","",15,"2,3","Norge","Kavli smoereoster","Kavli o. as hovedlager","MELK","","","","",""
"Smågodt1_hg","","","","","","","","","","","","","","","","","","","","","","","","",""
"Snøfrisk125_gr","","","","","","","","","","","","","","","","","","","","","","","","",""
"Soft_Flora_steke_&_bake500_gr","","","","","","","","","","","","","","","","","","","","","","","","",""
"Solo_plastflaske0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Solo_Plastflaske1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sopps_snarkokt_makaroni650gr","","","",1500,360,2,"0,5","","",70,"3,5","","","3,5",13,0,"Sverige","Sopps","Läntmannen cerealia as","GLUTEN","","","","",""
"Soyasaus_Kikkoman150_ml","","","",330,75,0,0,"","","3,2","0,6",0,0,0,10,"16,9","Nederland","Kikkoman","Haugen - gruppen as","GLUTEN","SOYA","","","",""
"Spaghetti_A_la_Capri870_gram","","","",443,106,"4,5",1,"","",12,"2,6","","",0,"3,6","0,9","Norge","Trondhjems","Orkla foods norge stabburet dv","GLUTEN","SOYA","","","Egg",""
"Spenol250_ml_fuktighetskrem","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spice_Mix_Fajitas30_gram","","","",1311,313,"1,3","0,2",0,0,"67,2",60,0,0,"0,2","6,3","17,8","Estland","Santa maria","Santa maria norge as","","","","","",""
"Sriracha-Saus215_ml","","","",375,89,1,"0,3","","","15,9",14,0,0,"","3,1","8,6","Nederland","o-tan","Haugen - gruppen as","","","","","",""
"Stabbur-Makrell","","","",1061,256,21,"3,5","9,3","6,8",3,"2,9","","","1,5",13,0,"Sverige","Stabburet","Orkla foods norge stabburet dv","","FISK","","","",""
"Stjernebacon140_gr","","","",1246,301,27,"9,7",12,"3,8","0,5","0,5","","","",14,"2,4","Norge","Gilde","Nortura sa g","","","","","",""
"Storfe_Ytrefilet150_gram","","","",463,110,"2,3",1,"0,9","0,1",0,0,0,0,0,"22,2","0,1","Norge","First price","Unil as d","","","","","",""
"Strandaskinke70_gr","","","",1000,239,14,5,7,2,0,0,"","","",28,8,"Norge","Stranda","Grilstad as","","","","","",""
"Sukkerkulør","","","",273,65,0,0,"","",52,16,"","",0,0,"3,4","","","","","","","","",""
"Sun_Lolly_Jordbær10_stk","","","",340,85,0,0,"","",21,20,"","","",0,0,"Danmark","Sun lolly","Multibev as c/o cuveco as","","","","","",""
"Sunmaid_rosiner500_gr","","","",1322,316,"0,7",0,"","","76,9","71,4","","","5,8",3,0,"USA","Sun maid","Arvid nordquist norge","","","","","",""
"Surkål_Nora450_gram","","","",211,46,"0,7",0,"","",10,"9,4","","",0,1,0,"Norge","Nora","Orkla foods norge stabburet dv","","","","","",""
"Sursild_eget_merke1_kilo","","","",369,88,4,"0,8","","",10,"9,3",0,"0,7",0,3,"1,4","","","","","","","","",""
"Svin_Indrefilet500_gram","","","",489,116,"3,1",1,"1,2","0,5",0,0,"","","",22,"0,1","","","","","","","","",""
"Svisker","","","",1168,276,"0,2",0,"","","62,5","25,1","","37,4",8,2,0,"","","","","","","","",""
"Sweet_Baby_Rays510_gram","","","",837,200,"0,2","0,1","",0,47,43,0,0,0,"0,9","1,9","USA","Sweet baby ray's","Haugen - gruppen as","SENNEP","","","","",""
"Sætre_Snackers120_gr","","","",2250,550,31,4,"","",60,"5,8","","",1,"5,3","1,3","Sverige","Saetre","Orkla confectionery & snacks norge as","GLUTEN","","","","",""
"Taco_dinner_kit","","","",1931,461,20,2,"","","61,2","0,8","","60,4",5,"6,5","0,9","Belgia","First price","Unil as d","","","","","",""
"Taco_salsa_medium","","","",131,31,0,0,"","",5,"3,6","","","1,6","1,5",1,"Sverige","Santa maria","Santa maria norge as","","","","","",""
"Taco_shells","","","",2126,509,27,"2,3","","","59,2",1,"","","3,6","5,4","0,1","Spania","Old el paso","Haugen - gruppen as","Gluten","","","","",""
"Taco_spice_mix_3X25G","","","",1300,306,"6,1","0,8",0,0,52,15,0,0,"0,2","8,9",18,"Spania","Old el paso","Haugen - gruppen as","","","","","",""
"Tacosaus_billigste_type","","","",184,44,"0,2","0,1","","",8,4,"",4,"2,5","1,2","1,8","","","","","","","","",""
"Tacosaus_eget_merke","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tacosaus_Hot","","","",145,34,0,0,"","","5,8","4,3","","","1,9","1,4","1,2","","","","","","","","",""
"Tacosaus_Medium","","","",131,31,0,0,"","",5,"3,6","","","1,6","1,5",1,"","","","","","","","",""
"Thousand_Island","","","",782,187,16,"1,1","","",9,"5,4","","",0,"1,8",2,"Norge","Idun","Orkla foods norge stabburet dv","EGG","SENNEP","","","",""
"Tine_Meierismør1/2_kilo","","","",3051,742,82,53,"","","0,5","0,5","","","","0,5","1,1","Norge","Tine smoer normalsaltet","Tine sa","MELK","","","","",""
"Tine_Sjokomelk1_lit","","","",251,59,"1,2","0,8","","","8,8","8,6","","","","3,3","0,1","Norge","Tine smoer normalsaltet","Tine sa","MELK","","","","",""
"Tine_Yoghurt_Jordbær_4pk4x150gr","","","",370,88,3,2,12,11,"","","","","","3,7","0,1","Norge","Tine smoer normalsaltet","Tine sa","MELK","","","","",""
"Tine_Yoghurt_Melon/pasjonsfrukt_4pk4x150gr","","","",377,90,3,2,"","",12,11,"","","","3,7","0,1","Norge","Tine smoer normalsaltet","Tine sa","MELK","","","","",""
"Tine_Yoghurt_Vanilje_4pk4_pk","","","",379,90,3,2,"","",12,12,"","","","3,6","0,1","Norge","Tine smoer normalsaltet","Tine sa","MELK","","","","",""
"Tine_Yoghurt_Vanilje500_gram","","","",379,90,3,2,"","",12,12,"","","","3,6","0,1","Norge","Tine smoer normalsaltet","Tine sa","MELK","","","","",""
"Tomatbønner","","","",351,83,"0,6",0,"0,1",0,14,"5,7","","",0,"3,8","1,2","","","","","","","","",""
"Tomatpurre_Staveland180_gr","Tomatpurre Stavland180 gr","","",310,73,"0,4","0,1",0,0,"13,4","13,2","","","",4,"0,1","Norge","Stavland","Stavland hermetikk as d","","","","","",""
"Tomatsuppe_m/makaroni119_gr","","","",148,35,"0,4",0,"","","6,8","2,2","","","","0,9","0,6","Norge","Toro","Orkla foods norge stabburet dv","GLUTEN","MELK","","","",""
"Tomatsuppe_Original91_gr","","","",133,31,"0,4",0,"",0,6,"2,5","","","","0,8","0,7","","","","","","","","",""
"Tomtegløgg_Original500_ml","","","","","","","","","","","","","","","","","","","","","","","","",""
"Toppris60gr","","","2047 kj","489 kcal",23,13,"","","",65,54,"","","2,3","4,6","0,3","","","","","","","","",""
"Toro_Brownies530_gram","","","",1649,392,13,"1,4","","",63,48,"","","","4,8","0,5","","","","","","","","",""
"Toro_Pizzabunn_familiepakn.370_gram","","","",1222,289,"4,6","0,4","","",50,"1,2","","","2,9","10,5","0,6","","","","","","","","",""
"Torsk_m_purresaus","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tortillas_beger8_stk","","","",1400,332,8,"0,9","","","54,2",0,"","54,2",3,"9,3","1,3","","","","","","","","",""
"Totalsum","","","","","","","","","","","","","","","","","","","","","","","","",""
"Troika66_gr","","","","","1680 kj","400 kcal",18,"9,7","",57,50,"","","","3,1",0,"","","","","","","","",""
"Trondhjems_brun_lapskaus800","","","",389,93,"4,8",1,"","","8,8","2,2","","",0,"2,8","0,8","","","","","","","","",""
"Tuborg_juleøl5_dl","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuborg_Lite5_dl","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuborg_liten_boks3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuborg_pils5_dl","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tunfisk_i_Olivenolje_eget_merke185_gram","","","",812,194,11,"2,1","","","2,9","0,3","","",0,26,1,"","","","","","","","",""
"Tynnribbe","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tyttebærsyltetøy_Nora_Hj.laget400_gr__","","","",662,158,"0,4",0,"","",37,37,"","","2,5","0,4",0,"","","","","","","","",""
"Uncle_Ben`s_Sweet_&_Sour_Original450_gr","","","",303,71,"0,2",0,"","","16,4","13,2","","","","0,4","0,4","","","","","","","","",""
"Uncle_Bens_Tikka_Masala450_gram","","","",361,87,"4,5",1,"","","9,2","6,4","","","","1,6","0,8","","","","","","","","",""
"Vafler_liten_pk","","","",1277,305,14,"1,2","","",38,"9,3","","","","6,5","0,9","","","","","","","","",""
"Vafler_Toro_Fam/Pk591_gr_","","","",1277,305,14,"1,2","","",38,"9,3","","","","6,5","0,9","","","","","","","","",""
"Vaniljeis_eget_merke3_liter","","","",654,156,"6,2","4,2","","","20,7","20,7","","","","4,1","0,1","","","","","","","","",""
"Vannmelon1_kilo","","","",150,35,"0,1",0,0,0,"7,6",0,"",0,"0,5","0,8",0,"","","","","","","","",""
"Vitaminbjørner_Collet_ny60_stk","","","",855,205,"0,5","","","","69,5","0,5","","","7,5","0,5","","","","","","","","","",""
"Vossafår91_gr","","","",1273,306,23,11,"","",1,"0,8","","",0,24,0,"","","","","","","","",""
"Wasa_Rugsprø200gr","","","",1450,340,2,"0,4","","",60,2,"","",19,11,"1,3","","","","","","","","",""
"WC_Duck_Blått1_stk","","","","","","","","","","","","","","","","","","","","","","","","",""
"Whiskas_Sticks_Laks1_stk","","","","","","","","","","","","","","","","","","","","","","","","",""
